typeURI;assetId.identificator;assetId.toegekendDoor;datumOprichtingObject;geometry;isActief;isPtz;merk;naam;opstelhoogte;toestand
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;000c960e-b694-4f96-bf56-51872325c714-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (151062.4 209792 0);True;False;;enca0431;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;2cedd380-d6e0-4a12-9783-001159ba94b1-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (150161.1 210642.1 0);True;False;;CAMA0954;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;006e3e3c-6a0a-4c7d-8b01-260b2385bdae-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (151975.8 209350.2 0);True;False;;CAMA0015;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;008d697f-236b-469c-8893-7202545d1230-b25kZXJkZWVsI0NhbWVyYQ;AWV;2002-01-01;POINT Z (112142.8 193631.4 0);True;True;bosch;CAMO4625;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;00cee6fa-cd74-4115-801d-c6fd1a21c270-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (156272.2 175241.1 0);True;False;;CAMV6024;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;00b84fb1-c127-4d6a-bb1e-64720b6709a8-b25kZXJkZWVsI0NhbWVyYQ;AWV;2007-01-01;POINT Z (79102.6 200705.2 0);True;True;bosch;CAMO4415;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;01575323-bc1d-4ab5-8f24-4516288d21aa-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (154005.5 215457.9 0);True;True;;CAMA0421;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;01accece-4e01-40c9-b1cf-9ee70971742f-b25kZXJkZWVsI0NhbWVyYQ;AWV;2016-04-04;POINT Z (142394.3 215696.2 0);True;True;;CAMO4533;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;01e76a08-e3a2-4902-90fd-59e80f194c48-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (74385.63 222117.77 0);True;False;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;01ec59bd-3b7f-42ba-84dc-f59357cc85eb-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (155545.97 211779.01 0);True;False;;;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;01efd386-a4aa-4936-a655-e42888953ff2-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (180802.5 205545.2 0);True;False;;CAMA0296;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;0225fb07-23ba-42b8-9b6b-8d7ac7720518-b25kZXJkZWVsI0NhbWVyYQ;AWV;;;False;;;DIZV-DRONO-CCTV-B;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;02334d93-5c45-447f-aac9-26cb5c6a9f46-b25kZXJkZWVsI0NhbWVyYQ;AWV;2020-07-03;POINT Z (85519 196612.5 0);True;True;bosch;CAMO4409;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;02381cce-5f6c-46e3-9e39-4d7e34d40243-b25kZXJkZWVsI0NhbWVyYQ;AWV;2015-01-01;POINT Z (106795.2 191637.9 0);False;True;bosch;CAMO4639;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;028b45a1-40ba-4bf0-9ea7-ff8c9f97e8bc-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (151641.2 210620.9 0);True;False;;CAMA0237;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;02a07b1f-d151-4c3b-acec-5f4dcbfe02d4-b25kZXJkZWVsI0NhbWVyYQ;AWV;2014-12-02;POINT Z (154522.9 176991.1 0);True;True;;CAMV6184;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;02abb306-dd64-4489-8e27-632003ad9dc1-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (174621.3 177893.1 0);True;True;;CAMV6381;;in-ontwerp
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;02cf9dfb-8559-465e-8e99-ae9bea8d8f2b-b25kZXJkZWVsI0NhbWVyYQ;AWV;2014-03-23;POINT Z (157600.3 173160.9 0);True;True;bosch;CAMV6186;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;02d05c7d-1d64-4ed8-a001-fded8b9b740e-b25kZXJkZWVsI0NhbWVyYQ;AWV;2016-04-04;POINT Z (148860.4 178461.4 0);True;True;;CAMV6188;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;02f762d8-09dd-4f7d-984b-962e0424488a-b25kZXJkZWVsI0NhbWVyYQ;AWV;;POINT Z (151904.3 212087 0);True;False;;CAMA0915;;in-gebruik
https://wegenenverkeer.data.vlaanderen.be/ns/onderdeel#Camera;036bdb53-ef08-41e1-8193-9c6fb18b2192-b25kZXJkZWVsI0NhbWVyYQ;AWV;2010-01-01;POINT Z (172556.1 207973.3 0);True;False;;CAMA0275;;in-gebruik
